Match_Id,Home_Away,Event_Minute,Event_Type
1,home,22,Goal
1,away,59,Substitution
1,home,71,Substitution
1,away,71,Substitution
1,home,73,Goal
1,home,80,Substitution
1,away,81,Substitution
1,home,86,Substitution
2,home,2,Goal
2,home,9,Yellow Card
2,home,13,Yellow Card
2,away,26,Yellow Card
2,away,45,Substitution
2,home,70,Substitution
2,away,72,Substitution
2,away,73,Goal
2,away,76,Substitution
2,away,78,Goal
2,home,79,Substitution
2,home,85,Substitution
3,home,27,Goal
3,home,40,Goal
3,away,57,Substitution
3,away,57,Substitution
3,home,58,Goal
3,home,67,Substitution
3,away,76,Substitution
3,home,82,Substitution
3,home,86,Substitution
4,away,22,Goal
4,home,30,Yellow Card
4,home,47,Goal
4,home,70,Substitution
4,home,76,Goal
4,home,76,Yellow Card
4,away,79,Substitution
4,away,80,Substitution
4,home,81,Goal
4,home,83,Substitution
4,away,83,Substitution
4,home,89,Substitution
5,home,41,Goal
5,away,59,Yellow Card
5,home,62,Substitution
5,home,62,Substitution
5,away,66,Substitution
5,home,72,Substitution
5,away,76,Yellow Card
5,away,86,Substitution
5,home,91,Yellow Card
5,away,91,Substitution
6,home,30,Goal
6,away,45,Substitution
6,away,49,Goal
6,home,52,Goal
6,home,54,Goal
6,away,59,Yellow Card
6,home,60,Goal
6,away,62,Yellow Card
6,home,68,Goal
6,home,70,Substitution
6,away,70,Substitution
6,home,75,Substitution
6,home,75,Substitution
6,away,77,Substitution
6,home,83,Yellow Card
7,home,5,Goal
7,away,18,Goal
7,home,40,Goal
7,home,51,Yellow Card
7,away,53,Goal
7,away,63,Goal
7,away,66,Goal
7,home,70,Substitution
7,home,84,Substitution
7,home,85,Substitution
7,away,88,Substitution
7,away,90,Substitution
7,away,93,Substitution
8,away,25,Yellow Card
8,away,26,Goal
8,home,53,Yellow Card
8,away,61,Substitution
8,away,61,Substitution
8,away,65,Goal
8,away,74,Goal
8,home,77,Substitution
8,home,77,Substitution
8,away,83,Substitution
8,home,86,Substitution
9,home,55,Goal
9,home,66,Yellow Card
9,away,70,Substitution
9,home,77,Substitution
9,away,79,Substitution
9,away,79,Substitution
9,home,83,Substitution
9,home,90,Substitution
9,home,91,Yellow Card
9,away,91,Yellow Card
10,home,10,Goal
10,home,23,Yellow Card
10,home,42,Goal
10,away,45,Substitution
10,away,54,Yellow Card
